race_year,rain,driverId,qualification_position,constructor,circuit,type_circuit,driver,race_month,race_day,age_at_gp_in_days,days_since_first_race,circuit_nationality,driver_nationality,constructor_nationality,driver_home,constructor_home,laps,deviation_from_median
1981,0,137,4,Brabham,Long Beach,Street circuit,piquet,3,15,10437,959,USA,BRA,GBR,0,0,80,0.0
1981,0,158,8,Tyrrell,Long Beach,Street circuit,cheever,3,15,8465,1155,USA,USA,GBR,1,0,80,31780.0
1981,0,178,2,Williams,Long Beach,Street circuit,jones,3,15,12552,2149,USA,AUS,GBR,0,0,80,-34920.0
1981,0,199,3,Williams,Long Beach,Street circuit,reutemann,3,15,14217,3339,USA,ARG,GBR,0,0,80,-25730.0
1981,0,207,6,Alfa Romeo,Long Beach,Street circuit,mario_andretti,3,15,14991,4543,USA,USA,CHE,1,0,80,14390.0
1981,1,119,4,Arrows,Autódromo Internacional Nelson Piquet,Race circuit,patrese,3,29,9843,1407,BRA,ITA,GBR,0,0,62,-13950.0
1981,1,172,16,Ligier,Autódromo Internacional Nelson Piquet,Race circuit,laffite,3,29,13643,2429,BRA,FRA,FRA,0,0,62,9800.0
1981,1,173,10,Team Lotus,Autódromo Internacional Nelson Piquet,Race circuit,angelis,3,29,8404,798,BRA,ITA,GBR,0,0,62,9390.0
1981,1,176,18,Ensign,Autódromo Internacional Nelson Piquet,Race circuit,surer,3,29,10785,567,BRA,CHE,GBR,0,0,62,0.0
1981,1,178,3,Williams,Autódromo Internacional Nelson Piquet,Race circuit,jones,3,29,12566,2163,BRA,AUS,GBR,0,0,62,-72590.0
1981,1,197,23,Ligier,Autódromo Internacional Nelson Piquet,Race circuit,jarier,3,29,12681,3493,BRA,FRA,FRA,0,0,62,13220.0
1981,1,199,2,Williams,Autódromo Internacional Nelson Piquet,Race circuit,reutemann,3,29,14231,3353,BRA,ARG,GBR,0,0,62,-77030.0
1981,0,117,2,Renault,Autódromo Juan y Oscar Gálvez,Race circuit,prost,4,12,9544,455,ARG,FRA,FRA,0,0,53,0.0
1981,0,137,1,Brabham,Autódromo Juan y Oscar Gálvez,Race circuit,piquet,4,12,10465,987,ARG,BRA,GBR,0,0,53,-49980.0
1981,0,163,5,Renault,Autódromo Juan y Oscar Gálvez,Race circuit,arnoux,4,12,11970,1135,ARG,FRA,FRA,0,0,53,41870.0
1981,0,178,3,Williams,Autódromo Juan y Oscar Gálvez,Race circuit,jones,4,12,12580,2177,ARG,AUS,GBR,0,0,53,17900.0
1981,0,199,4,Williams,Autódromo Juan y Oscar Gálvez,Race circuit,reutemann,4,12,14245,3367,ARG,ARG,GBR,1,0,53,-23370.0
1981,1,110,14,McLaren,Autodromo Enzo e Dino Ferrari,Race circuit,cesaris,5,3,8008,217,ITA,ITA,GBR,1,0,60,43720.0
1981,1,119,9,Arrows,Autodromo Enzo e Dino Ferrari,Race circuit,patrese,5,3,9878,1442,ITA,ITA,GBR,1,0,60,-18310.0
1981,1,137,5,Brabham,Autodromo Enzo e Dino Ferrari,Race circuit,piquet,5,3,10486,1008,ITA,BRA,GBR,0,0,60,-22890.0
1981,1,199,2,Williams,Autodromo Enzo e Dino Ferrari,Race circuit,reutemann,5,3,14266,3388,ITA,ARG,GBR,0,0,60,-16550.0
1981,1,202,6,Ferrari,Autodromo Enzo e Dino Ferrari,Race circuit,pironi,5,3,10630,1204,ITA,FRA,ITA,0,1,60,2980.0
1981,1,203,1,Ferrari,Autodromo Enzo e Dino Ferrari,Race circuit,gilles_villeneuve,5,3,11428,1387,ITA,CAN,ITA,0,1,60,79080.0
1981,1,212,13,Brabham,Autodromo Enzo e Dino Ferrari,Race circuit,rebaque,5,3,9219,1428,ITA,MEX,GBR,0,0,60,0.0
1981,1,152,17,Alfa Romeo,Zolder,Race circuit,giacomelli,5,17,10476,1344,BEL,ITA,CHE,0,0,54,46380.0
1981,1,158,8,Tyrrell,Zolder,Race circuit,cheever,5,17,8528,1218,BEL,USA,GBR,0,0,54,3310.0
