race_year,rain,qualification_position,driver,constructor,circuit,type_circuit,race_month,race_day,age_at_gp_in_days,days_since_first_race,circuit_nationality,driver_nationality,constructor_nationality,driver_home,constructor_home,dnf
2009,0,1,button,brawn,albert_park,Street circuit,3,29,10662,3304,AUS,GBR,GBR,0,0,0
2009,0,2,barrichello,brawn,albert_park,Street circuit,3,29,13459,5859,AUS,BRA,GBR,0,0,0
2009,0,20,trulli,toyota,albert_park,Street circuit,3,29,12678,4403,AUS,ITA,JPN,0,0,0
2009,0,19,glock,toyota,albert_park,Street circuit,3,29,9873,1750,AUS,DEU,JPN,0,0,0
2009,0,10,alonso,renault,albert_park,Street circuit,3,29,10105,2947,AUS,ESP,FRA,0,0,0
2009,0,5,rosberg,williams,albert_park,Street circuit,3,29,8676,1113,AUS,DEU,GBR,0,0,0
2009,0,13,buemi,toro_rosso,albert_park,Street circuit,3,29,7454,0,AUS,CHE,ITA,0,0,0
2009,0,17,bourdais,toro_rosso,albert_park,Street circuit,3,29,10987,378,AUS,FRA,ITA,0,0,0
2009,0,16,sutil,force_india,albert_park,Street circuit,3,29,9574,742,AUS,DEU,IND,0,0,0
2009,0,9,heidfeld,bmw_sauber,albert_park,Street circuit,3,29,11646,3304,AUS,DEU,DEU,0,0,0
2009,0,15,fisichella,force_india,albert_park,Street circuit,3,29,13223,4767,AUS,ITA,IND,0,0,0
2009,0,8,webber,red_bull,albert_park,Street circuit,3,29,11902,2583,AUS,AUS,AUT,1,0,0
2009,0,3,vettel,red_bull,albert_park,Street circuit,3,29,7940,651,AUS,DEU,AUT,0,0,1
2009,0,4,kubica,bmw_sauber,albert_park,Street circuit,3,29,8878,966,AUS,POL,DEU,0,0,1
2009,0,7,raikkonen,ferrari,albert_park,Street circuit,3,29,10756,2947,AUS,FIN,ITA,0,0,1
2009,0,6,massa,ferrari,albert_park,Street circuit,3,29,10200,2583,AUS,BRA,ITA,0,0,1
2009,0,14,piquet_jr,renault,albert_park,Street circuit,3,29,8648,378,AUS,BRA,FRA,0,0,1
2009,0,11,nakajima,williams,albert_park,Street circuit,3,29,8843,525,AUS,JPN,GBR,0,0,1
2009,0,12,kovalainen,mclaren,albert_park,Street circuit,3,29,10023,742,AUS,FIN,GBR,0,0,1
2009,0,18,hamilton,mclaren,albert_park,Street circuit,3,29,8847,742,AUS,GBR,GBR,0,0,1
2009,1,1,button,brawn,sepang,Race circuit,4,5,10669,3311,MYS,GBR,GBR,0,0,0
2009,1,10,heidfeld,bmw_sauber,sepang,Race circuit,4,5,11653,3311,MYS,DEU,DEU,0,0,0
2009,1,3,glock,toyota,sepang,Race circuit,4,5,9880,1757,MYS,DEU,JPN,0,0,0
2009,1,2,trulli,toyota,sepang,Race circuit,4,5,12685,4410,MYS,ITA,JPN,0,0,0
2009,1,8,barrichello,brawn,sepang,Race circuit,4,5,13466,5866,MYS,BRA,GBR,0,0,0
2009,1,5,webber,red_bull,sepang,Race circuit,4,5,11909,2590,MYS,AUS,AUT,0,0,0
2009,1,12,hamilton,mclaren,sepang,Race circuit,4,5,8854,749,MYS,GBR,GBR,0,0,0
2009,1,4,rosberg,williams,sepang,Race circuit,4,5,8683,1120,MYS,DEU,GBR,0,0,0
2009,1,16,massa,ferrari,sepang,Race circuit,4,5,10207,2590,MYS,BRA,ITA,0,0,0
2009,1,15,bourdais,toro_rosso,sepang,Race circuit,4,5,10994,385,MYS,FRA,ITA,0,0,0
2009,1,9,alonso,renault,sepang,Race circuit,4,5,10112,2954,MYS,ESP,FRA,0,0,0
2009,1,11,nakajima,williams,sepang,Race circuit,4,5,8850,532,MYS,JPN,GBR,0,0,0
2009,1,17,piquet_jr,renault,sepang,Race circuit,4,5,8655,385,MYS,BRA,FRA,0,0,0
2009,1,7,raikkonen,ferrari,sepang,Race circuit,4,5,10763,2954,MYS,FIN,ITA,0,0,0
2009,1,13,vettel,red_bull,sepang,Race circuit,4,5,7947,658,MYS,DEU,AUT,0,0,1
2009,1,20,buemi,toro_rosso,sepang,Race circuit,4,5,7461,7,MYS,CHE,ITA,0,0,1
2009,1,19,sutil,force_india,sepang,Race circuit,4,5,9581,749,MYS,DEU,IND,0,0,0
2009,1,18,fisichella,force_india,sepang,Race circuit,4,5,13230,4774,MYS,ITA,IND,0,0,1
2009,1,6,kubica,bmw_sauber,sepang,Race circuit,4,5,8885,973,MYS,POL,DEU,0,0,1
2009,1,14,kovalainen,mclaren,sepang,Race circuit,4,5,10030,749,MYS,FIN,GBR,0,0,1
2009,1,1,vettel,red_bull,shanghai,Race circuit,4,19,7961,672,CHN,DEU,AUT,0,0,0
2009,1,3,webber,red_bull,shanghai,Race circuit,4,19,11923,2604,CHN,AUS,AUT,0,0,0
2009,1,5,button,brawn,shanghai,Race circuit,4,19,10683,3325,CHN,GBR,GBR,0,0,0
2009,1,4,barrichello,brawn,shanghai,Race circuit,4,19,13480,5880,CHN,BRA,GBR,0,0,0
2009,1,12,kovalainen,mclaren,shanghai,Race circuit,4,19,10044,763,CHN,FIN,GBR,0,0,0
2009,1,9,hamilton,mclaren,shanghai,Race circuit,4,19,8868,763,CHN,GBR,GBR,0,0,0
2009,1,19,glock,toyota,shanghai,Race circuit,4,19,9894,1771,CHN,DEU,JPN,0,0,0
2009,1,10,buemi,toro_rosso,shanghai,Race circuit,4,19,7475,21,CHN,CHE,ITA,0,0,0
2009,1,2,alonso,renault,shanghai,Race circuit,4,19,10126,2968,CHN,ESP,FRA,0,0,0
2009,1,8,raikkonen,ferrari,shanghai,Race circuit,4,19,10777,2968,CHN,FIN,ITA,0,0,0
2009,1,15,bourdais,toro_rosso,shanghai,Race circuit,4,19,11008,399,CHN,FRA,ITA,0,0,0
2009,1,11,heidfeld,bmw_sauber,shanghai,Race circuit,4,19,11667,3325,CHN,DEU,DEU,0,0,0
2009,1,17,kubica,bmw_sauber,shanghai,Race circuit,4,19,8899,987,CHN,POL,DEU,0,0,0
2009,1,20,fisichella,force_india,shanghai,Race circuit,4,19,13244,4788,CHN,ITA,IND,0,0,0
2009,1,7,rosberg,williams,shanghai,Race circuit,4,19,8697,1134,CHN,DEU,GBR,0,0,0
2009,1,16,piquet_jr,renault,shanghai,Race circuit,4,19,8669,399,CHN,BRA,FRA,0,0,0
2009,1,18,sutil,force_india,shanghai,Race circuit,4,19,9595,763,CHN,DEU,IND,0,0,1
2009,1,14,nakajima,williams,shanghai,Race circuit,4,19,8864,546,CHN,JPN,GBR,0,0,1
2009,1,13,massa,ferrari,shanghai,Race circuit,4,19,10221,2604,CHN,BRA,ITA,0,0,1
2009,1,6,trulli,toyota,shanghai,Race circuit,4,19,12699,4424,CHN,ITA,JPN,0,0,1
2009,0,4,button,brawn,bahrain,Race circuit,4,26,10690,3332,BHR,GBR,GBR,0,0,0
2009,0,3,vettel,red_bull,bahrain,Race circuit,4,26,7968,679,BHR,DEU,AUT,0,0,0
2009,0,1,trulli,toyota,bahrain,Race circuit,4,26,12706,4431,BHR,ITA,JPN,0,0,0
2009,0,5,hamilton,mclaren,bahrain,Race circuit,4,26,8875,770,BHR,GBR,GBR,0,0,0
2009,0,6,barrichello,brawn,bahrain,Race circuit,4,26,13487,5887,BHR,BRA,GBR,0,0,0
2009,0,10,raikkonen,ferrari,bahrain,Race circuit,4,26,10784,2975,BHR,FIN,ITA,0,0,0
2009,0,2,glock,toyota,bahrain,Race circuit,4,26,9901,1778,BHR,DEU,JPN,0,0,0
2009,0,7,alonso,renault,bahrain,Race circuit,4,26,10133,2975,BHR,ESP,FRA,0,0,0
2009,0,9,rosberg,williams,bahrain,Race circuit,4,26,8704,1141,BHR,DEU,GBR,0,0,0
2009,0,15,piquet_jr,renault,bahrain,Race circuit,4,26,8676,406,BHR,BRA,FRA,0,0,0
2009,0,18,webber,red_bull,bahrain,Race circuit,4,26,11930,2611,BHR,AUS,AUT,0,0,0
2009,0,11,kovalainen,mclaren,bahrain,Race circuit,4,26,10051,770,BHR,FIN,GBR,0,0,0
2009,0,20,bourdais,toro_rosso,bahrain,Race circuit,4,26,11015,406,BHR,FRA,ITA,0,0,0
2009,0,8,massa,ferrari,bahrain,Race circuit,4,26,10228,2611,BHR,BRA,ITA,0,0,0
2009,0,17,fisichella,force_india,bahrain,Race circuit,4,26,13251,4795,BHR,ITA,IND,0,0,0
2009,0,19,sutil,force_india,bahrain,Race circuit,4,26,9602,770,BHR,DEU,IND,0,0,0
2009,0,16,buemi,toro_rosso,bahrain,Race circuit,4,26,7482,28,BHR,CHE,ITA,0,0,0
2009,0,13,kubica,bmw_sauber,bahrain,Race circuit,4,26,8906,994,BHR,POL,DEU,0,0,0
2009,0,14,heidfeld,bmw_sauber,bahrain,Race circuit,4,26,11674,3332,BHR,DEU,DEU,0,0,0
2009,0,12,nakajima,williams,bahrain,Race circuit,4,26,8871,553,BHR,JPN,GBR,0,0,1
2009,0,1,button,brawn,catalunya,Race circuit,5,10,10704,3346,ESP,GBR,GBR,0,0,0
2009,0,3,barrichello,brawn,catalunya,Race circuit,5,10,13501,5901,ESP,BRA,GBR,0,0,0
2009,0,5,webber,red_bull,catalunya,Race circuit,5,10,11944,2625,ESP,AUS,AUT,0,0,0
2009,0,2,vettel,red_bull,catalunya,Race circuit,5,10,7982,693,ESP,DEU,AUT,0,0,0
2009,0,8,alonso,renault,catalunya,Race circuit,5,10,10147,2989,ESP,ESP,FRA,1,0,0
2009,0,4,massa,ferrari,catalunya,Race circuit,5,10,10242,2625,ESP,BRA,ITA,0,0,0
2009,0,13,heidfeld,bmw_sauber,catalunya,Race circuit,5,10,11688,3346,ESP,DEU,DEU,0,0,0
2009,0,9,rosberg,williams,catalunya,Race circuit,5,10,8718,1155,ESP,DEU,GBR,0,0,0
2009,0,14,hamilton,mclaren,catalunya,Race circuit,5,10,8889,784,ESP,GBR,GBR,0,0,0
2009,0,6,glock,toyota,catalunya,Race circuit,5,10,9915,1792,ESP,DEU,JPN,0,0,0
